Frequency/GHz, Amplitude rel., Phase
  5470.0,  1.608897E-5,   472.84460
  5480.0,  1.896578E-5,   474.48075
  5490.0,  1.754513E-5,   475.78644
  5500.0,  1.495714E-5,   476.83694
  5510.0,  7.413946E-6,   478.14087
  5520.0,  8.418900E-6,   475.56798
  5530.0,  1.900553E-5,   476.93067
  5540.0,  1.708894E-5,   477.90426
  5550.0,  1.117392E-5,   478.22603
  5560.0,  1.292848E-5,   478.25342
  5570.0,  1.771424E-5,   478.78602
  5580.0,  1.510274E-5,   479.70486
  5590.0,  2.640954E-6,   479.93931
  5600.0,  1.068770E-5,   479.34106
  5610.0,  6.749586E-6,   480.55884
  5620.0,  7.401651E-6,   478.95679
  5630.0,  1.262942E-5,   480.41323
  5640.0,  4.558210E-6,   483.23513
  5650.0,  1.669004E-5,   485.96949
  5660.0,  1.688670E-5,   487.84601
  5670.0,  1.422140E-5,   490.57774
  5680.0,  2.135411E-5,   492.63925
  5690.0,  1.259032E-5,   494.10919
  5700.0,  4.327053E-6,   493.06401
  5710.0,  7.733633E-6,   493.75993
  5720.0,  9.594392E-6,   493.56000
  5730.0,  1.489684E-5,   494.51127
  5740.0,  4.982398E-6,   495.13722
  5750.0,  1.568164E-5,   494.62879
  5760.0,  2.092768E-5,   495.87312
  5770.0,  1.401598E-5,   496.75855
  5780.0,  1.634537E-5,   497.34226
  5790.0,  1.585110E-5,   498.74148
  5800.0,  3.572697E-6,   501.22828
  5810.0,  1.519374E-5,   498.42888
  5820.0,  1.799819E-5,   500.16466
  5830.0,  3.748856E-6,   502.19888
  5840.0,  1.431835E-5,   500.14533
  5850.0,  1.885825E-5,   501.98896
  5860.0,  1.328087E-5,   504.14705
  5870.0,  7.097368E-6,   506.38451
  5880.0,  9.082538E-6,   505.05449
  5890.0,  3.140150E-5,   506.66617
  5900.0,  4.211981E-5,   508.20147
  5910.0,  3.260478E-5,   509.70485
  5920.0,  1.232474E-5,   511.10071
  5930.0,  4.684144E-6,   510.60450
  5940.0,  6.703684E-6,   512.03080
  5950.0,  2.383481E-6,   509.02092
  5960.0,  1.177525E-5,   511.91109
  5970.0,  2.072401E-5,   513.64728
  5980.0,  2.317249E-5,   515.10546
  5990.0,  2.333930E-5,   516.31981
  6000.0,  2.571576E-5,   517.63974
  6010.0,  2.297071E-5,   519.27097
  6020.0,  1.129421E-5,   521.38751
  6030.0,  1.398534E-5,   518.58828
  6040.0,  2.722827E-5,   520.61145
  6050.0,  2.813633E-5,   522.34776
  6060.0,  1.752198E-5,   523.97149
  6070.0,  2.743995E-6,   525.34522
  6080.0,  1.227694E-5,   523.78445
  6090.0,  2.703121E-5,   525.14452
  6100.0,  3.483397E-5,   526.58521
  6110.0,  2.547186E-5,   528.06155
  6120.0,  3.027695E-6,   528.51848
  6130.0,  2.093830E-5,   528.31097
  6140.0,  2.580882E-5,   529.87594
  6150.0,  1.644040E-5,   531.41115
  6160.0,  7.091661E-6,   532.42501
  6170.0,  5.925692E-6,   533.38917
  6180.0,  3.159596E-6,   536.23758
  6190.0,  9.984539E-6,   538.85951
  6200.0,  9.922977E-6,   540.40639
  6210.0,  6.551980E-6,   540.01041
  6220.0,  2.283775E-5,   540.98097
  6230.0,  3.067442E-5,   542.35775
  6240.0,  2.664667E-5,   543.64340
  6250.0,  1.842215E-5,   544.76633
  6260.0,  9.189959E-6,   545.84539
  6270.0,  3.760984E-6,   544.57720
  6280.0,  1.401122E-5,   545.70396
  6290.0,  1.374755E-5,   547.24690
  6300.0,  6.286939E-6,   549.79931
  6310.0,  1.482000E-5,   552.31847
  6320.0,  1.738208E-5,   553.69545
  6330.0,  1.242765E-5,   554.45396
